"name","ipv4address","enabled","distinguishedname","description","LastLogonDate","OperatingSystem"
"UTODSP4085000","None Found","True","CN=UTODSP4085000,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DSS PolyTechnic Loaner \ Dell Inc. Optiplex 9010 AIO","5/21/2019 10:15:06 AM","Windows 10 Enterprise"
"UTODSP4076902","None Found","True","CN=UTODSP4076902,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/5/2020 10:25:21 AM","Windows 10 Enterprise"
"UTO4155090","None Found","True","CN=UTO4155090,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Dell 7050 SFF - Cooley Ballroom Conference Room A","9/17/2021 11:29:44 PM","Windows 10 Enterprise"
"UTODSP4108722","None Found","True","CN=UTODSP4108722,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/25/2021 3:26:49 PM","Windows 10 Enterprise"
"UTOEMAILVM1","None Found","True","CN=UTOEMAILVM1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 3:11:38 PM","Windows 10 Enterprise"
"UTO4155222","None Found","True","CN=UTO4155222,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/23/2021 9:35:49 AM","Windows 10 Enterprise"
"UTODSP4093955","None Found","True","CN=UTODSP4093955,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","7/14/2021 1:39:17 AM","Windows 10 Enterprise"
"UTODSP4093949","None Found","True","CN=UTODSP4093949,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support Clock-in PC","9/17/2021 12:34:09 AM","Windows 10 Enterprise"
"UTODSP4102795","None Found","True","CN=UTODSP4102795,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7KXKTR1 \ Dell Inc. OptiPlex 990","12/3/2018 3:36:05 PM","Windows 10 Enterprise"
"UTODSP4108618","None Found","True","CN=UTODSP4108618,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","2GL9F42 \ 4108618 - Dell Inc. OptiPlex 9020","9/18/2021 11:10:35 AM","Windows 10 Enterprise"
"UTODSP4092898","None Found","True","CN=UTODSP4092898,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7KZKTR1 \ Dell Inc. OptiPlex 990","12/22/2019 10:04:49 AM","Windows 10 Enterprise"
"UTODSP4092797","None Found","True","CN=UTODSP4092797,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7KZRTR1 \ 4092797 -","9/24/2021 10:46:04 AM","Windows 10 Enterprise"
"UTODSP4084906","None Found","True","CN=UTODSP4084906,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","GHOSTEE \","12/31/2018 9:57:24 AM","Windows 10 Enterprise"
"UTODSPGG9R2H2","None Found","True","CN=UTODSPGG9R2H2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Daniel Camargo \ GG9R2H2 \ Dell Inc. Latitude 7480","9/17/2021 10:39:51 AM","Windows 10 Enterprise"
