"name","ipv4address","enabled","distinguishedname","LastLogonDate","OperatingSystem"
"CLSSM-4090668","None Found","True","CN=CLSSM-4090668,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/16/2021 5:08:35 AM","Windows 10 Enterprise"
"CLSSM-4075596","None Found","True","CN=CLSSM-4075596,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","6/28/2020 9:03:18 PM","Windows 10 Enterprise"
"CLSSM-4090757","None Found","True","CN=CLSSM-4090757,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2021 8:50:01 AM","Windows 10 Enterprise"
"CLSCLS4108624","None Found","True","CN=CLSCLS4108624,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","5/30/2021 7:43:57 PM","Windows 10 Enterprise"
"CLSCLS4090695","None Found","True","CN=CLSCLS4090695,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2019 4:04:38 PM","Windows 10 Enterprise"
"CLSCLS4144148","None Found","True","CN=CLSCLS4144148,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","4/21/2020 11:11:47 AM","Windows 10 Enterprise"
"CLSHUM4090706","None Found","True","CN=CLSHUM4090706,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/17/2020 3:55:38 PM","Windows 10 Enterprise"
"CLSSM-4090726","None Found","True","CN=CLSSM-4090726,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/13/2020 12:47:59 PM","Windows 10 Enterprise"
"UTODSP4155140","None Found","True","CN=UTODSP4155140,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/13/2021 4:33:14 PM","Windows 10 Enterprise"
"CISA4155209","None Found","True","CN=CISA4155209,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/22/2021 4:06:54 PM","Windows 10 Enterprise"
"CISA4155205","None Found","True","CN=CISA4155205,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/1/2021 12:44:02 PM","Windows 10 Enterprise"
"CISA4155206","None Found","True","CN=CISA4155206,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/1/2021 5:33:45 PM","Windows 10 Enterprise"
"CLSCLS4155163","None Found","True","CN=CLSCLS4155163,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/12/2020 9:59:30 AM","Windows 10 Pro"
"CLSsm-4108769","None Found","True","CN=CLSsm-4108769,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/16/2021 1:14:46 PM","Windows 10 Enterprise"
