"name","ipv4address","enabled","distinguishedname","LastLogonDate","OperatingSystem"
"CLSCLS4084972","None Found","True","CN=CLSCLS4084972,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/9/2021 4:35:56 PM","Windows 10 Enterprise"
"CLSCLS4090705","None Found","True","CN=CLSCLS4090705,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/31/2020 9:07:18 AM","Windows 10 Enterprise"
"CLSSM-4108801","None Found","True","CN=CLSSM-4108801,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","12/14/2019 1:13:50 PM","Windows 10 Enterprise"
"CISA4060920","None Found","True","CN=CISA4060920,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/30/2021 4:50:49 PM","Windows 10 Enterprise"
"CLSCLS4155161","None Found","True","CN=CLSCLS4155161,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/11/2021 11:16:01 AM","Windows 10 Enterprise"
"CLSSM-4096224","None Found","True","CN=CLSSM-4096224,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/8/2021 10:44:38 AM","Windows 10 Enterprise"
"CLSCLS4102545","None Found","True","CN=CLSCLS4102545,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/12/2021 11:02:29 PM","Windows 10 Enterprise"
"CLSSM-4090700","None Found","True","CN=CLSSM-4090700,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","6/14/2021 11:37:06 AM","Windows 10 Enterprise"
"CLSCLS4096056","None Found","True","CN=CLSCLS4096056,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","12/8/2020 10:44:43 AM","Windows 10 Enterprise"
"CLSSM-4084980","None Found","True","CN=CLSSM-4084980,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","11/20/2019 4:30:07 PM","Windows 10 Enterprise"
